WGS84 UTM 19N
-30.966354329837486 -104.29134426638484 87.999
-23.36790527019184 -83.68871547933668 87.965
-15.648855834035203 -63.37132414150983 87.963
-8.154415397555567 -43.138253149576485 87.968
-0.47303058102261275 -22.547919071279466 87.971
6.556123945163563 -2.5131937256082892 88.024
1.2387481874320656 9.64404764957726 87.932
-16.294226536352653 14.616034989245236 87.957
-29.921319716901053 7.925041412003338 87.974
-37.3489494342939 -10.616487476974726 88.001
-45.01155295042554 -31.03616334684193 88.03
-52.70139086432755 -51.4180371966213 88.059
-60.25491672748467 -71.73968243785203 88.031
-67.8173653644626 -91.98765727039427 88.042
-73.20678797271103 -106.37457124143839 88.013
-74.20566552423406 -108.84306690096855 88.001
-47.7491987546091 -14.169998055323958 87.905
-51.9940878485213 -12.708539153449237 87.996
-69.19550395163242 -6.239679743535817 88.061
-90.28418172663078 1.389589512720704 88.059
-110.21372276876355 9.39518944825977 87.991
-115.64547481038608 22.951869236305356 87.985
-109.73157043097308 40.83158963918686 88.03
-96.75685519585386 44.527010479941964 87.973
-77.83866142679472 37.864647541195154 87.998
-57.3784244148992 30.24215740710497 88.015
-38.88078855909407 25.33649582695216 88.001
-28.71005469741067 36.38502800837159 87.957
-24.194849409919698 53.91323756799102 87.941
-36.05796272860607 63.36388432327658 87.979
-55.624700177810155 70.92699534446001 87.989
-75.99619994539535 78.53669317346066 88.086
-92.86612137325574 84.77994034718722 87.969
-96.52365110407118 86.15594290476292 87.996
-26.25007528893184 19.567317028529942 87.934
-24.510268647165503 23.640780821442604 88.038
-18.087711588828824 41.023988308385015 88.04
-10.393852635403164 61.605330594815314 88.073
-2.7751868724590167 81.85515672434121 88.046
4.807048881892115 102.10835250932723 88.031
12.466639664489776 122.61025120597333 88.058
21.197625105909538 140.67475420143455 88.01
36.928939706645906 141.80549862235785 87.996
53.59495392238023 134.81964209862053 87.944
53.01429573784117 120.63923759106547 87.929
45.581746598589234 100.4671063059941 87.972
37.98989538208116 80.14501054957509 87.975
30.433865548227914 59.84801562875509 87.944
22.834466970758513 39.599561802111566 87.933
15.18200482800603 19.24312766920775 87.934
10.03022028884152 5.271025652997196 87.984
8.972603711066768 2.8493321258574724 87.974
9.567063541035168 -35.750558017753065 87.952
14.02579360594973 -37.49779653828591 88.058
31.467679366120137 -43.92096119560301 88.038
52.02458374865819 -51.50455985125154 87.967
72.29268327745376 -58.435307492502034 87.916
84.68155355512863 -51.58979568909854 87.951
91.06933606031816 -33.85620915796608 88.038
83.18087379011558 -22.177058367058635 88.034
64.8667503100587 -14.973746456205845 88.051
44.452469934825785 -7.411885740235448 87.971
26.79192908119876 1.1820497792214155 87.921
25.696316936868243 16.24833755195141 87.882
32.9694019802846 32.82052293140441 87.942
47.45131606142968 32.38193686213344 87.929
67.70837165700505 25.118798381648958 87.961
87.76826828834601 17.595155257731676 87.952
104.70889942994108 11.271463247947395 87.966
108.57159856474027 9.921170476824045 88.02
-33.85266610386316 -54.99640955589712 33.535
-30.653854081698228 -56.240699073299766 33.535
-24.924416562658735 -57.96791522949934 33.515
-22.478496380965225 -58.79445735923946 33.486
-22.160127167240717 -58.672832710668445 33.459
-22.66620467614848 -58.615956709720194 33.475
-22.521218349575065 -58.71849619038403 33.438
-22.412050068785902 -58.73880472034216 33.445
-26.335578038007952 -57.59044800978154 33.412
-29.809295712271705 -56.5572081906721 33.454
-33.55186355218757 -55.29375539626926 33.488
-36.755661093164235 -54.25698995124549 33.486
-38.567930278368294 -53.45820797048509 33.465
-42.1031624606112 -51.833120421506464 33.512
-42.711335648433305 -51.000391020439565 35.248
-42.4256261815317 -51.0971490945667 38.916
-43.087313913274556 -50.53038279991597 39.054
-44.60910099139437 -49.47094874829054 39.076
-49.22653547045775 -44.947097059339285 39.016
-49.52596994146006 -44.13682313449681 38.958
-52.11328401486389 -42.42543551325798 38.974
-55.47050398821011 -38.91786182299256 38.986
-57.22527730365982 -34.83099206350744 38.982
-56.948525946063455 -30.906600959599018 38.963
-56.50073828571476 -26.299910180270672 38.972
-55.80066736385925 -21.50071152113378 38.99
-54.51882853289135 -16.686084577813745 38.998
-53.425352373858914 -12.609982413239777 39.004
-52.68901342630852 -9.766109230928123 39.006
-51.93873791140504 -7.20490004774183 39.01
-51.30120210244786 -5.009151911363006 38.996
-50.8062289491063 -2.9547955337911844 39.006
-50.13482413580641 -0.5290302205830812 39.003
-49.40349180868361 1.9020002074539661 38.987
-48.67434612463694 4.500517885200679 39.011
-47.872091382101644 7.3890580255538225 39.003
-47.094355038017966 10.236664450727403 39.006
-46.385757458687294 12.832812134176493 38.988
-45.741178135736845 15.274809061549604 38.966
-44.97553808800876 17.778413119725883 38.972
-44.32926320878323 20.248031970113516 38.955
-43.74399083672324 22.428878379054368 38.974
-43.085980883101 24.845427340827882 38.955
-42.363931894651614 27.38068483863026 38.967
-41.648701681231614 30.064881186001003 38.979
-40.95124798303004 32.75419246032834 38.988
-40.218452851171605 35.121302540414035 38.974
-39.411030796240084 37.64718436729163 38.961
-38.58528511994518 40.331592104397714 38.931
-37.75591633794829 43.20911637227982 38.938
-36.80849392397795 46.118214908987284 38.946
-36.06845601333771 48.9869941836223 38.943
-34.73461671266705 52.30542269162834 38.941
-32.731717186863534 55.74907016847283 38.947
-30.25200346764177 58.96003698091954 38.949
-27.324904688925017 62.05261324997991 38.941
-23.913377481978387 65.29684472084045 38.951
-20.68465489090886 68.29337532352656 38.96
-17.42663900658954 70.89308650884777 38.971
-13.924146126490086 72.97344695031643 38.972
-10.229936496645678 74.48645845614374 38.971
-6.177213335293345 75.46135528571904 38.961
-1.8690978536615148 75.73219661042094 38.98
2.185494724428281 75.45092226099223 38.991
6.36754596082028 74.76524253375828 38.959
10.077063303033356 73.85472539067268 38.977
14.401958205038682 72.61515476182103 38.978
18.75114567077253 70.95856068469584 38.971
22.839762591116596 68.76413830183446 38.97
26.967910722421948 66.21530323382467 38.977
30.79634940053802 63.122071616351604 38.96
34.126643972471356 59.51822369545698 38.944
36.721298746881075 55.67517356853932 38.959
36.494586384273134 53.57749359961599 38.974
35.893218643730506 51.041407968848944 39.004
35.85927852749592 46.185960702598095 39.001
34.15431637538131 42.977318516001105 38.963
33.5754879048327 39.98447643965483 39.009
32.75166009343229 37.35189857054502 38.994
31.43647919408977 35.62386959884316 38.977
30.80058795394143 32.70968342013657 38.965
30.741160178673454 32.5657488014549 38.963
30.31586451898329 30.941820552572608 38.989
30.00005631253589 30.228173517622054 38.974
29.44989231118234 28.348747556097806 38.973
29.074181848554872 27.2346415463835 38.961
28.474791004729923 25.29546186234802 38.953
27.827697765198536 23.056507940404117 38.951
27.272619490046054 21.375191249884665 38.937
26.82934578426648 19.83426600601524 38.938
26.536445602599997 18.883170100860298 38.939
26.126619934337214 17.52594296541065 38.935
25.696627497207373 16.22433151304722 38.953
25.379513052583206 15.026420476846397 38.946
24.96588001406053 13.736173313111067 38.963
24.50086697412189 12.314009903930128 38.965
24.041075665387325 10.801721535623074 38.975
23.681863290898036 9.552654108032584 38.955
23.20796168380184 8.144602816551924 38.955
22.69775131868664 6.389937834814191 38.961
22.247651472338475 4.977953133173287 38.954
21.751473105628975 3.294262258335948 38.953
21.138616504031233 1.3133147396147251 38.943
20.47712967277039 -0.7961741536855698 38.948
19.9487927830196 -2.602488975971937 38.961
19.55313817341812 -3.8567476738244295 38.949
19.04362203599885 -5.567322156392038 38.964
18.547595962067135 -7.211908518336713 38.976
17.845164396159817 -9.534792830236256 38.974
16.908838865347207 -12.562612952664495 38.975
15.945436661015265 -15.633746690116823 38.971
14.98925862199394 -18.794833621010184 38.948
15.131071442563552 -21.08001798391342 39.062
13.302512630471028 -16.113593985326588 39.104
11.12739534501452 -15.92895814217627 39.079
7.671270201681182 -15.179491483606398 39.104
6.957789805950597 -18.012835847213864 39.163
3.342659546993673 -17.3467940017581 39.224
3.1146606422262266 -17.170943993143737 39.168
3.563562272116542 -16.955507333390415 27.383
3.358152282773517 -17.075982860289514 27.386
3.2705212015425786 -17.182430792599916 27.384
3.072960394900292 -17.89961532689631 27.38
2.695796596352011 -20.4642419135198 27.403
2.8729433703119867 -19.20936030615121 27.401
2.305260033812374 -22.396911637857556 27.399
1.949408230255358 -24.463335290551186 27.393
1.5197737629641779 -26.245696494355798 27.404
0.9234495422570035 -28.066182826645672 27.4
0.36194861412514 -29.67489681020379 27.394
-0.31286926404573023 -31.695165634155273 27.416
-0.9335028484929353 -33.73646650835872 27.405
-1.9877092936076224 -36.85785924363881 27.426
-3.0894595014397055 -40.03827019315213 27.443
-3.9612449414562434 -42.81151322554797 27.406
-5.30217092554085 -45.47003978583962 27.381
-5.443857590376865 -45.61634309682995 27.399
-5.382310073589906 -45.31580722518265 27.402
-4.401347286941018 -42.09046365041286 27.409
-3.9538494297885336 -40.927173836156726 27.45
-2.9555857330560684 -37.821479885838926 27.429
-2.0528125796699896 -35.117235619574785 27.435
-1.634624668455217 -33.90420994721353 27.421
-0.7960656570503488 -31.408107744529843 27.409
0.12046211044071242 -28.82542342506349 27.418
0.7085523351561278 -26.90218153130263 27.405
1.3023628737428226 -25.174735963344574 27.449
2.1130197197780944 -22.711704875342548 27.433
3.0216246591880918 -19.81906575616449 27.436
4.0663947006105445 -16.75465235952288 27.418
5.145382317714393 -13.779762068763375 27.424
6.115523646702059 -10.88734174426645 27.428
6.903403427219018 -8.749378005973995 27.457
7.709329380770214 -6.252562935464084 27.417
8.589512172271498 -3.737066963687539 27.419
9.45790897810366 -1.2001640629023314 27.417
10.286574479890987 1.0789827164262533 27.409
11.073303170211148 3.2737493868917227 27.424
11.651298800716177 5.232799507677555 27.399
12.23989569809055 7.034371766261756 27.42
12.948582926590461 9.133114541880786 27.411
13.795853912539314 11.496230443008244 27.415
14.696948763390537 14.061751266010106 27.428
15.239660451421514 15.767710626125336 27.409
15.985559608088806 16.878810909576714 27.392
17.23922462540213 17.8351135738194 27.406
18.052511731511913 18.385555972345173 27.405
