WGS84 UTM 19N
13.698737231257837 -9.289077547378838 16.785
3.5774365592515096 -8.092012257315218 16.7
-6.920536057383288 -6.950345880351961 16.743
-9.364225992234424 -6.664038488641381 16.751
-11.847255675820634 -6.395267019048333 16.741
-14.49013986333739 -6.113245075568557 16.729
-17.03041968663456 -5.846129152923822 16.715
-22.00431681831833 -5.25591438729316 16.7
-19.625046887551434 -5.556050459854305 16.705
-24.75736624118872 -4.711876032873988 16.708
-26.22375540813664 -3.7771111028268933 16.692
-26.161046199384145 -2.3650787118822336 16.712
-24.840860540105496 -1.73135971929878 16.728
-22.905442492454313 -1.8444889709353447 16.723
-20.27062987536192 -2.0831023026257753 16.757
-17.611892770975828 -2.3716951617971063 16.747
-14.970011001452804 -2.693817298859358 16.743
-12.296342913177796 -3.025991224683821 16.743
-9.748071178444661 -3.3396018305793405 16.751
-7.270463327993639 -3.6421883162111044 16.748
-4.774636808549985 -3.94831511285156 16.745
0.3643815530813299 -4.52412020880729 16.753
-2.1482237491291016 -4.248441046103835 16.751
2.791677450761199 -4.825447333045304 16.748
5.4815093607176095 -5.151844905689359 16.744
7.974071599135641 -5.40541585534811 16.752
10.454968331148848 -5.667954132892191 16.759
13.055995122122113 -5.9767000786960125 16.768
20.826751515152864 -6.914471184834838 16.767
23.271365927357692 -7.163753563538194 16.772
27.210013758565765 -6.598457586020231 16.773
27.359153897792567 -5.207100983709097 16.777
26.17004867841024 -4.439762928523123 16.748
24.37654169619782 -4.1419149748981 16.719
21.703488041472156 -3.7850788356736302 16.766
19.203164048842154 -3.4757628301158547 16.74
16.695517536019906 -3.184781912714243 16.775
14.112710213579703 -2.8795784367248416 16.776
11.650571799837053 -2.5989908296614885 16.762
8.939388452214189 -2.3029272658750415 16.741
6.406201360223349 -2.0267374608665705 16.74
3.745638886000961 -1.7195894569158554 16.768
1.2398953395313583 -1.444082722067833 16.766
-1.2089056288823485 -1.179255722090602 16.763
-3.863145728595555 -0.8938678009435534 16.731
-6.343062413856387 -0.6838185731321573 16.754
-8.944856686983258 -0.4059106884524226 16.75
-11.490917421819177 -0.09544196538627148 16.757
-14.292036833881866 0.26460475847125053 16.739
-16.7927434638259 0.5585110373795033 16.727
-19.12986854184419 0.8051244458183646 16.726
-21.69902893289691 1.1069141728803515 16.733
-24.2857686013449 1.5295155504718423 16.74
-26.015100030926988 2.381337057799101 16.756
-25.06693174771499 4.521274920552969 16.734
-26.227385025005788 3.6860352605581284 16.743
-23.076398019620683 4.416029038839042 16.733
-17.782776072854176 3.8919071117416024 16.731
-15.274901881581172 3.610167327336967 16.723
-12.534068195032887 3.3102676421403885 16.726
-10.076352260890417 3.0359546719118953 16.732
-7.586850070802029 2.751589797437191 16.744
-5.10420853132382 2.467397063039243 16.734
-2.452872592257336 2.157389424741268 16.735
0.07078011811245233 1.8660019990056753 16.732
2.5400084756547585 1.5944926235824823 16.739
5.232509757974185 1.283460478298366 16.746
7.799845674773678 1.000244965776801 16.747
10.197717597242445 0.7120005171746016 16.745
12.844557676813565 0.4051974071189761 16.752
15.331697375746444 0.11781328357756138 16.757
17.873569716641214 -0.1771088195964694 16.752
20.47513347910717 -0.46426031086593866 16.753
23.127240920148324 -0.7434128317981958 16.751
25.539011733664665 -0.9332322040572762 16.756
27.589426981750876 -0.5646436074748635 16.767
28.23155420337571 0.49959166906774044 16.759
27.49237270402955 1.5982982199639082 16.749
25.874598707072437 1.9689217815175653 16.729
23.398454660957213 2.3301027342677116 16.763
18.39362220885232 2.9642713963985443 16.749
20.92359702719841 2.651128531433642 16.752
15.960083712590858 3.290440686047077 16.771
13.357235287257936 3.617749948054552 16.764
10.779312377562746 3.9351787278428674 16.751
8.170658703311346 4.213251513428986 16.739
5.548129607923329 4.485498678870499 16.741
3.1587909309891984 4.7488401578739285 16.735
0.4737677500816062 5.084378191269934 16.727
-1.9151086888159625 5.366228628903627 16.712
-4.601440334459767 5.649331510998309 16.728
-7.1393521124264225 5.919471417553723 16.749
-12.061565717798658 6.47135200817138 16.732
-14.659014319477137 6.739894326776266 16.727
-19.928532908903435 7.31279565487057 16.726
-17.5044295709813 7.067097157239914 16.742
-22.51575534325093 7.62429606448859 16.734
-26.188970867486205 9.166626017540693 16.734
-25.916248805238865 10.557983529753983 16.74
-21.828684847569093 10.67199777904898 16.713
-24.205277232802473 10.98750037048012 16.691
-19.183058272581547 10.408422987908125 16.73
-16.489174987538718 10.152903999201953 16.719
-13.75505071587395 9.859344084747136 16.713
-11.180626575369388 9.585203838534653 16.714
-8.508403134066612 9.287018198519945 16.71
-3.303381637262646 8.69721653033048 16.74
-0.7291108466451988 8.41691108327359 16.74
1.9297766121453606 8.134494620375335 16.745
-6.007083533331752 9.017791079357266 16.719
4.499242888414301 7.845051662065089 16.761
6.991030592820607 7.560634859837592 16.765
11.914838272496127 6.98094978928566 16.772
14.497564892633818 6.672660850919783 16.768
17.171461093239486 6.349751720204949 16.77
19.647318047471344 6.068823516368866 16.771
22.082318268017843 5.801261665299535 16.771
27.126247782376595 5.450073881074786 16.781
24.65635970060248 5.51171201094985 16.774
9.4825105148484 7.2638808051124215 16.761
28.650194633868523 6.087976991198957 16.773
28.721380060596857 7.289918695576489 16.771
27.64053252938902 8.085419573821127 16.725
