WGS84 UTM 19N
342450 4703592
-25.381245762109756 -52.43715904280543 26.533
-21.129244978772476 -50.21556094661355 26.52
-12.874760863604024 -45.9950924385339 26.573
-25.018598264548928 -52.263272415846586 26.508
-4.309237393375952 -41.861880973912776 26.547
-23.716237550252117 -51.55511803831905 26.507
-8.44181754940655 -43.85472814925015 26.511
-0.011244517052546144 -39.72772100567818 26.577
4.37291348783765 -37.52143831830472 26.574
-17.468764460005332 -48.286120804958045 26.543
8.526054809859488 -35.42720654141158 26.564
12.82023873354774 -33.25900570768863 26.542
16.89967068459373 -31.19087910372764 26.539
20.994319283694495 -29.157041248865426 26.532
25.22495528345462 -27.07072279136628 26.533
29.50009290582966 -24.93602923117578 26.536
33.63052154122852 -22.835097948089242 26.542
37.850915824237745 -20.696076880209148 26.542
43.9378870051587 -17.651774680241942 26.543
46.37390787201002 -16.419884083792567 26.54
50.39975047879852 -14.396820212714374 26.517
54.95281138387509 -12.095566250383854 26.514
58.89650712074945 -10.067556338384748 26.511
62.922666221042164 -7.7266227863729 26.536
65.76217642601114 -5.220013694837689 26.512
66.71199364715721 -2.7201067274436355 26.529
66.64253188588191 -0.7372516235336661 26.542
66.0638996239868 -0.054497167468070984 26.463
64.26290226215497 -0.6865981156006455 26.476
62.31438218499534 -1.6795287113636732 26.429
59.22312594309915 -3.192893805913627 26.421
54.9339065104723 -5.243961364030838 26.489
50.36627297208179 -7.381321830675006 26.518
46.21697782876436 -9.407769455574453 26.494
42.00117565563414 -11.445057036355138 26.53
37.710622001904994 -13.554720564745367 26.54
33.66200897685485 -15.57417683582753 26.536
25.143297972041182 -19.86279563140124 26.539
21.060352937260177 -21.88455553073436 26.55
16.649224403197877 -24.071722039952874 26.529
29.315109601826407 -17.750457293353975 26.533
12.648067801841535 -26.113841555081308 26.519
8.436587464413606 -28.26230764668435 26.497
4.23029893822968 -30.383113553747535 26.516
0.07294021005509421 -32.461816845461726 26.524
-4.34705787373241 -34.636425853706896 26.522
-8.383441465732176 -36.61910177394748 26.513
-12.810086889017839 -38.784297132864594 26.524
-16.86122281703865 -40.81292682234198 26.512
-21.2257432815386 -43.05975984595716 26.498
-25.140651828725822 -44.82297081500292 26.534
-28.650734896422364 -45.75898934714496 26.566
-30.628792187781073 -45.22668555844575 26.454
-31.778309582732618 -43.51877597998828 26.511
-31.746283948072232 -41.89928776305169 26.463
-29.967098157503642 -40.615546928718686 26.446
-27.65119957353454 -39.44268915988505 26.456
-24.38382349355379 -37.72039833385497 26.489
-20.11563697917154 -35.48990739881992 26.548
-15.61424135894049 -33.25233877450228 26.519
-11.533352814381942 -31.22129468433559 26.533
-7.161311142379418 -29.045606708154082 26.546
-3.11018488870468 -27.016971608623862 26.557
1.160603974829428 -24.872938367538154 26.541
5.32010227709543 -22.800455210730433 26.537
9.616354418045375 -20.641561711207032 26.539
13.886926188191865 -18.506774496287107 26.533
18.074029548675753 -16.425649357028306 26.524
22.23358715942595 -14.35007181763649 26.524
26.36559905705508 -12.280041927471757 26.528
30.615398396155797 -10.154034085571766 26.532
34.74989783595083 -8.074797304347157 26.537
39.059763473575 -5.919280146248639 26.543
43.18955110339448 -3.84610440954566 26.551
47.45553439628566 -1.711193984374404 26.543
52.2458939277567 0.67728182207793 26.55
55.87420100485906 2.4994708271697164 26.543
59.74130468373187 4.677344221621752 26.539
62.44637922744732 6.896893016062677 26.561
63.194093947764486 8.237897992134094 26.495
62.46606289455667 9.893067230470479 26.517
60.80966760299634 10.908773768693209 26.493
